id,lat,lon,category,name,created_on,geolocation_degrees,promoted,Street_Num,Street_Name,City,County,State,Country,Zip
15,48.4377466,-123.3124115,grocery,Slaters Meats,1394219130,"123°18'44.68""W, 48°26'15.89""N",,2579,Cadboro Bay Road,Victoria,Capital,British Columbia,Canada,V8R 5J1
8,39.2615749,-121.0165666,default,SierraHosts.net,1386794770,"121°0'59.64""W, 39°15'41.67""N",,101,Broad Street,Nevada City,Nevada County,California,United States,95959
10,39.7146512,-104.9362682,default,Costa Rica Travel Market LLC,1389447527,"104°56'10.57""W, 39°42'52.74""N",,101,South Birch Street,Denver,Denver County,Colorado,United States,80246
12,42.3626795,-71.0863982,shopping,MIT Coop,1409879886,"71°5'11.03""W, 42°21'45.65""N",,323,Main Street,Cambridge,Middlesex County,Massachusetts,United States,2142
6,37.7705183,-122.4504132,default,Deborah Hodgson Vamp Couture,1385666967,"122°27'1.49""W, 37°46'13.87""N",,1799,Page Street,San Francisco,San Francisco County,California,United States,94117
8226,40.75256442,-86.34662747,shopping,Stack-Tech Computer Repair,1465956215,"86°20'47.86""W, 40°45'9.23""N",,1631,Smead Street,Logansport,Cass County,Indiana,United States,46947
3928,37.9580745,-122.499287,cafe,Nova Rosti,1399646864,"122°29'57.43""W, 37°57'29.07""N",,3100,Kerner Boulevard,San Rafael,Marin County,California,United States,94901
50,39.9863889,-83.0055556,default,Columbus Worship Center,1386095442,"83°0'20.0""W, 39°59'11.0""N",,1179,North High Street,Columbus,Franklin County,Ohio,United States,43201
51,41.4047222,-74.325,default,Saint John The Evangelist Roman Catholic Church,1383436754,"74°19'30.0""W, 41°24'17.0""N",,43,Montgomery Street,Goshen,Orange County,New York,United States,10924
52,30.4094827,-91.0684555,default,Dezins Interactive,1385449366,"91°4'6.44""W, 30°24'34.14""N",,10313,Jefferson Highway,Baton Rouge,East Baton Rouge Parish,Louisiana,United States,70809
53,38.9859,-94.8606,default,Mill Creek Community Church,1385566742,"94°51'38.16""W, 38°59'9.24""N",,7825,Gleason Road,Shawnee,Johnson County,Kansas,United States,66227
54,33.608786,-117.7114158,default,Color-Glide ColorGlidePro.com - paint brush replacement  product,1385055371,"117°42'41.1""W, 33°36'31.63""N",,24401,Calle De La Magdalena,Laguna Hills,Orange County,California,United States,92653
55,27.773935,-82.6305988,attraction,Saint Petersburg Museum of History,1408723158,"82°37'50.16""W, 27°46'26.17""N",,335,2nd Avenue Northeast,St. Petersburg,Pinellas County,Florida,United States,33701
56,29.5241688,-98.5687186,default,Law Office of Michael McLees,1397232908,"98°34'7.39""W, 29°31'27.01""N",,8746,Wurzbach Road,San Antonio,Bexar County,Texas,United States,78229
60,37.7949855,-122.4234775,shopping,Laundry Locker Kiosk,1409361742,"122°25'24.52""W, 37°47'41.95""N",,2103,Van Ness Avenue,San Francisco,San Francisco County,California,United States,94109
61,43.6647999,-79.4130037,cafe,Snakes & Lattes,1403569846,"79°24'46.81""W, 43°39'53.28""N",,596,Bloor Street West,Toronto,Toronto Division,Ontario,Canada,M6G 1K4
65,37.7678512,-122.4223164,shopping,Skunk Funk,1420665190,"122°25'20.34""W, 37°46'4.26""N",,316,Valencia Street,San Francisco,San Francisco County,California,United States,94103
48,37.7882789,-122.4461924,default,Pet Camp Cat Safari,1420762098,"122°26'46.29""W, 37°47'17.8""N",,3227,Sacramento Street,San Francisco,San Francisco County,California,United States,94115
73,37.5555738,-122.318096,shopping,Cyclepath,1420753066,"122°19'5.15""W, 37°33'20.07""N",,1214,South El Camino Real,San Mateo,San Mateo County,California,United States,94402
57,43.6560303,-79.3989471,nightlife,Grossman's Tavern,1402686557,"79°23'56.21""W, 43°39'21.71""N",,577,Cecil Street,Toronto,Toronto Division,Ontario,Canada,M5T 1N6
76,35.2743463,-80.8215111,default,iTek Graphics,1405452629,"80°49'17.44""W, 35°16'27.65""N",,3700,Jeff Adams Drive,Charlotte,Mecklenburg County,North Carolina,United States,28206
79,28.333289,-80.611025,food,Saim Orchid Japanese Restaraunt,1401472311,"80°36'39.69""W, 28°19'59.84""N",,1275,North Atlantic Avenue,Cocoa Beach,Brevard County,Florida,United States,32931
82,30.2967459,-97.7416594,food,Thai Kitchen,1397301102,"97°44'29.97""W, 30°17'48.29""N",,3009,Guadalupe Street,Austin,Travis County,Texas,United States,78705
