state,county,"Less than a high school diploma, 2015-19","High school diploma only, 2015-19","Some college or associate's degree, 2015-19","Bachelor's degree or higher, 2015-19","Percent of adults with less than a high school diploma, 2015-19","Percent of adults with a high school diploma only, 2015-19","Percent of adults completing some college or associate's degree, 2015-19","Percent of adults with a bachelor's degree or higher, 2015-19"
Alabama,Autauga,4291,12551,10596,9929,11.483394622802734,33.58845901489258,28.356571197509766,26.57157325744629
Alabama,Baldwin,13893,41797,47274,48148,9.193842887878418,27.659616470336914,31.284080505371094,31.862459182739258
Alabama,Barbour,4812,6396,4676,2080,26.786907196044922,35.60454177856445,26.029836654663086,11.578713417053223
Alabama,Bibb,3386,7256,3848,1678,20.942602157592773,44.8787727355957,23.800098419189453,10.378525733947754
Alabama,Blount,7763,13299,13519,5210,19.509437561035156,33.4221305847168,33.97502136230469,13.093413352966309
Alabama,Bullock,1798,2860,1587,856,25.320377349853516,40.27601623535156,22.34896469116211,12.05463981628418
Alabama,Butler,2066,6244,3279,2230,14.950430870056152,45.184165954589844,23.728200912475586,16.137203216552734
Alabama,Calhoun,12315,25940,26233,14620,15.567325592041016,32.79061508178711,33.16099548339844,18.481063842773438
Alabama,Chambers,4372,8739,7515,3163,18.37824249267578,36.73546600341797,31.59023094177246,13.296061515808105
Alabama,Cherokee,3478,7598,5391,2407,18.427465438842773,40.256439208984375,28.56310272216797,12.7529935836792
Alabama,Chilton,5474,13348,7401,3823,18.218730926513672,44.42521286010742,24.632230758666992,12.723823547363281
Alabama,Choctaw,1737,3515,2964,1113,18.61935806274414,37.67820739746094,31.771894454956055,11.93053913116455
Alabama,Clarke,3259,7005,4456,2050,19.43351173400879,41.771018981933594,26.571258544921875,12.224209785461426
Alabama,Clay,2205,3577,2678,999,23.311132431030273,37.81583786010742,28.311660766601562,10.561369895935059
Alabama,Cleburne,2198,3980,2687,1616,20.971281051635742,37.97347640991211,25.63686752319336,15.418375968933105
Alabama,Coffee,4967,9615,12667,8044,14.073612213134766,27.243362426757812,35.890968322753906,22.792055130004883
Alabama,Colbert,5783,14740,11366,7070,14.843810081481934,37.83464813232422,29.174259185791016,18.14728355407715
Alabama,Conecuh,1384,4516,1805,1128,15.668516159057617,51.12645721435547,20.43473243713379,12.770293235778809
Alabama,Coosa,1652,3327,2221,1059,20.002422332763672,40.283329010009766,26.891876220703125,12.822375297546387
Alabama,Covington,4366,9819,8119,4020,16.58562469482422,37.30056381225586,30.84257698059082,15.271235466003418
Alabama,Crenshaw,2016,3830,2157,1687,20.80495262145996,39.52528381347656,22.260061264038086,17.409700393676758
Alabama,Cullman,10648,19668,19406,8004,18.44576072692871,34.0713005065918,33.617435455322266,13.86550235748291
Alabama,Dale,4651,10819,11961,6078,13.879853248596191,32.28684997558594,35.694889068603516,18.138410568237305
Alabama,Dallas,4757,9411,8178,3854,18.1564884185791,35.91984558105469,31.213741302490234,14.70992374420166
Alabama,DeKalb,12072,16431,13241,6246,25.155241012573242,34.23838424682617,27.59116554260254,13.01521110534668
Alabama,Elmore,7503,18232,16298,14060,13.37600040435791,32.50316619873047,29.05531883239746,25.065515518188477
Alabama,Escambia,4878,11308,6449,3224,18.86383819580078,43.729454040527344,24.9390926361084,12.467613220214844
Alabama,Etowah,11127,23668,24422,12815,15.447300910949707,32.85762023925781,33.90437698364258,17.79070472717285
Alabama,Fayette,2037,4831,3387,1451,17.40133285522461,41.26943588256836,28.933879852294922,12.395352363586426
Alabama,Franklin,4739,7601,5539,2907,22.798999786376953,36.5678825378418,26.647743225097656,13.985374450683594
Alabama,Geneva,3672,6714,5943,2331,19.678457260131836,35.980709075927734,31.848875045776367,12.491961479187012
Alabama,Greene,1204,2237,1766,586,20.78370475769043,38.615570068359375,30.48506736755371,10.115656852722168
Alabama,Hale,1587,4303,2620,1411,15.996371269226074,43.372642517089844,26.408628463745117,14.222356796264648
Alabama,Henry,2509,3961,3622,2076,20.619657516479492,32.55259704589844,29.7666015625,17.06114387512207
Alabama,Houston,10076,22558,23893,15672,13.95587158203125,31.244199752807617,33.093257904052734,21.70667266845703
Alabama,Jackson,6218,15177,10429,5175,16.80586051940918,41.02002716064453,28.18724822998047,13.98686408996582
Alabama,Jefferson,44684,118636,136299,150124,9.935452461242676,26.378620147705078,30.30597496032715,33.37995147705078
Alabama,Lamar,1737,3912,3014,1174,17.657821655273438,39.76822280883789,30.639423370361328,11.93453311920166
Alabama,Lauderdale,8026,22873,17759,14948,12.618306159973145,35.960445404052734,27.92032241821289,23.500926971435547
Alabama,Lawrence,4825,9605,5954,2930,20.69571876525879,41.198421478271484,25.53830337524414,12.567556381225586
