state,county,year,broadband percent
Alabama,Autauga,2017,0.61818182
Alabama,Autauga,2018,0.78899997
Alabama,Baldwin,2017,0.82068217
Alabama,Baldwin,2018,0.78099996
Alabama,Barbour,2017,0.4789916
Alabama,Barbour,2018,0.60399997
Alabama,Bibb,2017,0.60674155
Alabama,Bibb,2018,0.66100001
Alabama,Blount,2017,0.58669353
Alabama,Blount,2018,0.685
Alabama,Bullock,2017,0.55555558
Alabama,Bullock,2018,0.58899999
Alabama,Butler,2017,0.59183675
Alabama,Butler,2018,0.62099999
Alabama,Calhoun,2017,0.76647949
Alabama,Calhoun,2018,0.73000002
Alabama,Chambers,2017,0.57284766
Alabama,Chambers,2018,0.66499996
Alabama,Cherokee,2017,0.60071939
Alabama,Cherokee,2018,0.68599999
Alabama,Chilton,2017,0.59402984
Alabama,Chilton,2018,0.61800003
Alabama,Choctaw,2017,0.53289473
Alabama,Choctaw,2018,0.583
Alabama,Clarke,2017,0.64220184
Alabama,Clarke,2018,0.53200001
Alabama,Clay,2017,0.55072463
Alabama,Clay,2018,0.68199998
Alabama,Cleburne,2017,0.57723576
Alabama,Cleburne,2018,0.60399997
Alabama,Coffee,2017,0.59725398
Alabama,Coffee,2018,0.77600002
Alabama,Colbert,2017,0.56603777
Alabama,Colbert,2018,0.68199998
Alabama,Conecuh,2017,0.5
Alabama,Conecuh,2018,0.472
Alabama,Coosa,2017,0.48837209
Alabama,Coosa,2018,0.64300001
Alabama,Covington,2017,0.47353759
Alabama,Covington,2018,0.68599999
Alabama,Crenshaw,2017,0.54918033
Alabama,Crenshaw,2018,0.59600002
Alabama,Cullman,2017,0.78934407
Alabama,Cullman,2018,0.699
Alabama,Dale,2017,0.5625
Alabama,Dale,2018,0.72900003
Alabama,Dallas,2017,0.52427185
Alabama,Dallas,2018,0.634
Alabama,DeKalb,2017,0.72014296
Alabama,DeKalb,2018,0.66999996
Alabama,Elmore,2017,0.86145735
Alabama,Elmore,2018,0.796
Alabama,Escambia,2017,0.59133124
Alabama,Escambia,2018,0.57300001
Alabama,Etowah,2017,0.77752084
Alabama,Etowah,2018,0.73400003
Alabama,Fayette,2017,0.55333334
Alabama,Fayette,2018,0.68900001
Alabama,Franklin,2017,0.5703125
Alabama,Franklin,2018,0.597
Alabama,Geneva,2017,0.5864979
Alabama,Geneva,2018,0.66900003
Alabama,Greene,2017,0.41935483
Alabama,Greene,2018,0.46199998
Alabama,Hale,2017,0.51948053
Alabama,Hale,2018,0.54899997
Alabama,Henry,2017,0.62686563
Alabama,Henry,2018,0.722
Alabama,Houston,2017,0.75857788
Alabama,Houston,2018,0.704
Alabama,Jackson,2017,0.58921164
Alabama,Jackson,2018,0.671
Alabama,Jefferson,2017,0.82967234
Alabama,Jefferson,2018,0.764
Alabama,Lamar,2017,0.53793103
