state,county,lat,lon,year,category
California,Nevada,39.2615749,-121.0165666,2013,default
Colorado,Denver,39.7146512,-104.9362682,2014,default
Massachusetts,Middlesex,42.3626795,-71.0863982,2014,shopping
California,San Francisco,37.7705183,-122.4504132,2013,default
Indiana,Cass,40.7525644171388,-86.3466274738312,2016,shopping
California,Marin,37.9580745,-122.499287,2014,cafe
Ohio,Franklin,39.9863889,-83.0055556,2013,default
New York,Orange,41.4047222,-74.325,2013,default
Louisiana,East Baton Rouge,30.4094827,-91.0684555,2013,default
Kansas,Johnson,38.9859,-94.8606,2013,default
California,Orange,33.608786,-117.7114158,2013,default
Florida,Pinellas,27.773935,-82.6305988,2014,attraction
Texas,Bexar,29.5241688,-98.5687186,2014,default
California,San Francisco,37.7949855,-122.4234775,2014,shopping
California,San Francisco,37.7678512,-122.4223164,2015,shopping
California,San Francisco,37.7882789,-122.4461924,2015,default
California,San Mateo,37.5555738,-122.318096,2015,shopping
North Carolina,Mecklenburg,35.2743463,-80.8215111,2014,default
Florida,Brevard,28.333289,-80.611025,2014,food
Texas,Travis,30.2967459,-97.7416594,2014,food
New York,Kings,40.6873932,-73.9692312,2015,shopping
California,San Diego,32.94998,-117.227693,2014,default
California,San Diego,33.1967248,-117.3788832,2013,default
California,San Diego,33.164004,-117.348439,2013,default
California,San Diego,32.76434,-117.188709,2014,default
California,San Diego,32.7959837,-117.2529544,2013,default
California,San Diego,32.799441,-117.243776,2014,default
California,San Diego,33.1471342,-117.2003136,2013,default
Kansas,Riley,39.1922528,-96.6091199,2014,food
Texas,Williamson,30.5499212,-97.8533226,2014,food
Florida,Pinellas,27.777371,-82.631548,2014,food
Florida,Pinellas,27.7709052,-82.6523574,2014,food
Maryland,Baltimore,39.3475198,-76.4505536,2014,food
New Jersey,Morris,40.9076669,-74.5519558,2014,shopping
New Jersey,Morris,40.9073762,-74.5552585,2014,shopping
Florida,Hillsborough,28.1000502,-82.3995584,2014,food
