state,county,total_poverty_2019,poverty_percent_all_2019,total_childhood_people_2019,childhood_poverty_percent_all_2019,median_household_income_2019
Alabama,Autauga,6723.0,12.1,2040.0,15.9,58233.0
Alabama,Baldwin,22360.0,10.1,6323.0,13.5,59871.0
Alabama,Barbour,5909.0,27.1,2050.0,41.0,35972.0
Alabama,Bibb,4101.0,20.3,1147.0,25.9,47918.0
Alabama,Blount,9324.0,16.3,2750.0,21.0,52902.0
Alabama,Bullock,2537.0,30.0,825.0,39.9,31906.0
Alabama,Butler,4124.0,21.6,1460.0,34.6,39944.0
Alabama,Calhoun,18988.0,17.2,5878.0,24.6,47747.0
Alabama,Chambers,6415.0,19.6,2058.0,30.4,42015.0
Alabama,Cherokee,4121.0,15.9,1135.0,23.3,45982.0
Alabama,Chilton,7044.0,16.0,2404.0,23.1,49692.0
Alabama,Choctaw,2811.0,22.6,745.0,30.4,39808.0
Alabama,Clarke,4281.0,18.4,1425.0,28.6,43822.0
Alabama,Clay,2156.0,16.6,685.0,26.0,40562.0
Alabama,Cleburne,1945.0,13.3,591.0,17.9,51276.0
Alabama,Coffee,7734.0,15.0,2664.0,21.8,57299.0
Alabama,Colbert,7998.0,14.6,2204.0,19.4,46683.0
Alabama,Conecuh,2662.0,22.2,845.0,34.7,41539.0
Alabama,Coosa,1789.0,17.1,478.0,27.8,42024.0
Alabama,Covington,6269.0,17.2,2133.0,26.6,44836.0
Alabama,Crenshaw,2289.0,16.8,771.0,25.0,43309.0
Alabama,Cullman,10088.0,12.2,3124.0,17.0,50897.0
Alabama,Dale,8727.0,18.1,3061.0,27.8,45120.0
Alabama,Dallas,9533.0,26.0,3497.0,41.0,34034.0
Alabama,DeKalb,12848.0,18.2,4947.0,29.4,44277.0
Alabama,Elmore,8753.0,11.4,3159.0,17.7,62310.0
Alabama,Escambia,6980.0,20.5,2191.0,27.1,42712.0
Alabama,Etowah,18801.0,18.8,5754.0,27.0,43047.0
Alabama,Fayette,2721.0,17.0,779.0,23.0,44212.0
Alabama,Franklin,4989.0,16.1,1865.0,24.5,44874.0
Alabama,Geneva,4180.0,16.1,1210.0,21.3,43089.0
Alabama,Greene,2553.0,31.7,803.0,45.8,28699.0
Alabama,Hale,2956.0,20.5,1028.0,30.8,40745.0
Alabama,Henry,2919.0,17.2,1005.0,29.2,48597.0
Alabama,Houston,20207.0,19.4,6601.0,27.8,50138.0
Alabama,Jackson,7481.0,14.7,2049.0,19.6,44322.0
Alabama,Jefferson,104288.0,16.2,33205.0,22.5,54127.0
Alabama,Lamar,2070.0,15.3,628.0,21.6,42686.0
Alabama,Lauderdale,14193.0,15.7,3632.0,20.4,48188.0
Alabama,Lawrence,5773.0,17.7,1590.0,22.8,47797.0
Alabama,Lee,24731.0,15.5,4849.0,14.2,54160.0
Alabama,Limestone,11535.0,12.0,3552.0,16.3,64729.0
Alabama,Lowndes,2555.0,26.6,766.0,36.1,33930.0
Alabama,Macon,4817.0,29.3,1177.0,39.2,34281.0
Alabama,Madison,41789.0,11.5,13373.0,16.8,68609.0
Alabama,Marengo,4601.0,24.8,1526.0,36.3,38838.0
Alabama,Marion,4883.0,16.9,1420.0,23.4,44675.0
Alabama,Marshall,14989.0,15.7,5132.0,21.5,48913.0
Alabama,Mobile,71784.0,17.7,25003.0,26.4,49492.0
Alabama,Monroe,4770.0,23.3,1355.0,31.4,40005.0
Alabama,Montgomery,34268.0,15.8,12087.0,23.3,52711.0
Alabama,Morgan,16146.0,13.7,5047.0,18.8,54355.0
Alabama,Perry,2778.0,33.9,851.0,46.2,29572.0
Alabama,Pickens,4380.0,24.3,1287.0,34.0,40249.0
Alabama,Pike,6742.0,21.8,1842.0,29.8,41271.0
Alabama,Randolph,3906.0,17.5,1342.0,28.4,42922.0
Alabama,Russell,10823.0,18.9,3493.0,25.4,43670.0
Alabama,St. Clair,9780.0,11.2,2958.0,14.9,65403.0
Alabama,Shelby,13428.0,6.2,3859.0,7.7,77801.0
Alabama,Sumter,4195.0,36.4,1055.0,45.3,29209.0
Alabama,Talladega,13326.0,17.4,4041.0,25.1,47719.0
Alabama,Tallapoosa,6341.0,16.0,2101.0,25.9,47100.0
Alabama,Tuscaloosa,32226.0,16.2,8526.0,19.7,52307.0
Alabama,Walker,10837.0,17.3,3282.0,23.7,45991.0
Alabama,Washington,2998.0,18.6,1002.0,28.2,48864.0
Alabama,Wilcox,3329.0,32.5,1171.0,48.9,30998.0
Alabama,Winston,3882.0,16.7,1059.0,22.5,40827.0
Alaska,Aleutians East Borough,492.0,14.8,33.0,13.4,66923.0
Alaska,Aleutians West Census Area,414.0,7.6,34.0,5.4,84726.0
Alaska,Anchorage Borough,26636.0,9.5,7383.0,11.0,82512.0
Alaska,Bethel Census Area,4249.0,23.5,2013.0,31.6,48262.0
Alaska,Bristol Bay Borough,80.0,9.8,16.0,11.0,87950.0
Alaska,Denali Borough,132.0,6.6,34.0,8.6,78434.0
Alaska,Dillingham Census Area,883.0,18.1,407.0,27.1,57436.0
Alaska,Fairbanks North Star Borough,6656.0,7.2,1773.0,7.9,74076.0
Alaska,Haines Borough,247.0,9.8,65.0,14.4,62548.0
Alaska,Hoonah-Angoon Census Area,336.0,15.7,88.0,23.3,53141.0
Alaska,Juneau Borough,1951.0,6.3,524.0,8.0,85419.0
Alaska,Kenai Peninsula Borough,5966.0,10.4,1608.0,12.5,68625.0
Alaska,Ketchikan Gateway Borough,1283.0,9.4,349.0,12.0,75706.0
Alaska,Kodiak Island Borough,909.0,7.1,274.0,8.7,79669.0
Alaska,Kusilvak Census Area,2217.0,26.8,1206.0,35.5,35369.0
Alaska,Lake and Peninsula Borough,275.0,17.4,113.0,25.3,51693.0
Alaska,Matanuska-Susitna Borough,10142.0,9.6,3563.0,12.8,75856.0
Alaska,Nome Census Area,2033.0,20.7,883.0,26.1,58464.0
Alaska,North Slope Borough,1109.0,11.4,395.0,15.3,84784.0
Alaska,Northwest Arctic Borough,1805.0,24.0,806.0,29.8,61660.0
Alaska,Petersburg Borough,219.0,6.7,56.0,8.6,71296.0
Alaska,Prince of Wales-Hyder Census Area,1085.0,17.6,315.0,23.3,50049.0
Alaska,Sitka Borough,672.0,8.1,159.0,9.3,80660.0
Alaska,Skagway Municipality,47.0,4.0,13.0,7.3,74898.0
Alaska,Southeast Fairbanks Census Area,823.0,12.0,267.0,15.8,69646.0
Alaska,Valdez-Cordova Census Area,781.0,8.6,212.0,10.1,74574.0
Alaska,Wrangell City and Borough,240.0,9.7,53.0,11.0,62496.0
Alaska,Yakutat Borough,85.0,14.7,27.0,26.7,61587.0
Alaska,Yukon-Koyukuk Census Area,1266.0,24.4,441.0,30.8,42063.0
Arizona,Apache,23680.0,33.4,8572.0,44.7,35386.0
Arizona,Cochise,20172.0,16.6,6965.0,26.2,48650.0
Arizona,Coconino,20817.0,15.9,4362.0,15.4,58301.0
Arizona,Gila,11219.0,21.1,3342.0,32.2,45980.0
Arizona,Graham,7207.0,20.1,2558.0,25.2,50685.0
Arizona,Greenlee,876.0,9.3,277.0,11.1,68066.0
Arizona,La Paz,4593.0,22.1,1117.0,32.6,39407.0
Arizona,Maricopa,539670.0,12.2,180511.0,17.5,68634.0
Arizona,Mohave,33183.0,16.0,9711.0,28.2,49712.0
Arizona,Navajo,27440.0,25.2,10046.0,35.0,40676.0
Arizona,Pima,142859.0,14.0,40084.0,19.0,56150.0
Arizona,Pinal,52975.0,12.1,17042.0,17.0,62067.0
Arizona,Santa Cruz,8688.0,18.8,3398.0,27.8,47779.0
Arizona,Yavapai,27845.0,12.0,6132.0,16.7,54242.0
Arizona,Yuma,41782.0,20.4,15728.0,29.7,47024.0
Arkansas,Ashley,3603.0,18.5,1069.0,24.8,47744.0
Arkansas,Baxter,5248.0,12.7,1317.0,18.1,41950.0
Arkansas,Benton,24525.0,8.9,8687.0,12.2,70775.0
Arkansas,Boone,5572.0,15.1,1575.0,18.8,50083.0
Arkansas,Bradley,2426.0,22.9,800.0,31.3,39982.0
Arkansas,Calhoun,771.0,15.4,196.0,20.2,48415.0
Arkansas,Carroll,4118.0,14.7,1143.0,19.2,43841.0
Arkansas,Chicot,2900.0,31.0,984.0,45.1,37014.0
Arkansas,Clark,3971.0,20.6,960.0,23.1,44105.0
Arkansas,Clay,2691.0,18.7,769.0,25.5,40686.0
Arkansas,Cleburne,3452.0,14.1,1011.0,21.9,46214.0
Arkansas,Cleveland,1080.0,13.7,337.0,19.8,53773.0
Arkansas,Columbia,4509.0,21.2,1245.0,26.5,42964.0
Arkansas,Conway,3215.0,15.6,1037.0,22.7,46924.0
Arkansas,Craighead,17960.0,16.9,6773.0,25.0,47766.0
Arkansas,Crawford,11436.0,18.3,4238.0,28.1,44600.0
Arkansas,Crittenden,10520.0,22.4,4115.0,32.1,41976.0
Arkansas,Cross,2874.0,17.8,977.0,26.3,45273.0
Arkansas,Dallas,1241.0,18.8,412.0,31.7,41314.0
Arkansas,Desha,2859.0,25.4,1094.0,38.6,37005.0
Arkansas,Drew,3191.0,18.5,944.0,25.0,44162.0
Arkansas,Faulkner,17459.0,14.4,4470.0,15.9,58482.0
Arkansas,Franklin,2830.0,16.2,900.0,23.2,45670.0
Arkansas,Fulton,2169.0,17.7,684.0,26.5,32926.0
Arkansas,Garland,16532.0,16.9,4589.0,23.9,45786.0
Arkansas,Grant,2189.0,12.1,617.0,15.6,58566.0
Arkansas,Greene,6925.0,15.5,2147.0,20.0,47098.0
Arkansas,Hempstead,3930.0,18.5,1434.0,26.3,40867.0
Arkansas,Hot Spring,6322.0,20.2,1755.0,26.7,45860.0
Arkansas,Howard,2176.0,16.8,846.0,24.9,41427.0
Arkansas,Independence,5852.0,15.9,1811.0,20.1,47903.0
Arkansas,Izard,2003.0,15.9,545.0,22.7,40233.0
Arkansas,Jackson,3313.0,22.9,1069.0,32.4,38636.0
Arkansas,Jefferson,14942.0,24.4,4701.0,33.1,40555.0
Arkansas,Johnson,4521.0,17.5,1499.0,23.5,40396.0
Arkansas,Lafayette,1655.0,25.5,435.0,37.1,37164.0
Arkansas,Lawrence,2887.0,18.4,955.0,27.0,39604.0
Arkansas,Lee,2515.0,35.4,670.0,42.1,30421.0
Arkansas,Lincoln,2567.0,27.1,666.0,31.8,44272.0
Arkansas,Little River,2157.0,17.8,707.0,26.1,43257.0
Arkansas,Logan,3640.0,17.4,965.0,22.2,42249.0
Arkansas,Lonoke,7760.0,10.7,2731.0,14.9,62782.0
Arkansas,Madison,2699.0,16.4,930.0,24.6,48016.0
Arkansas,Marion,2687.0,16.3,804.0,27.1,38760.0
Arkansas,Miller,5909.0,14.1,2357.0,24.0,50905.0
Arkansas,Mississippi,9128.0,23.0,3111.0,30.0,39990.0
Arkansas,Monroe,1681.0,25.5,552.0,40.8,34289.0
Arkansas,Montgomery,1756.0,19.9,505.0,31.0,39591.0
Arkansas,Nevada,1951.0,24.1,712.0,38.3,36528.0
Arkansas,Newton,1386.0,18.1,454.0,31.1,37648.0
Arkansas,Ouachita,3969.0,17.3,1409.0,27.6,46393.0
Arkansas,Perry,1710.0,16.5,579.0,25.1,50560.0
Arkansas,Phillips,5841.0,33.3,2245.0,49.9,31521.0
Arkansas,Pike,1769.0,16.9,537.0,23.9,44426.0
Arkansas,Poinsett,5339.0,23.1,1803.0,32.9,40536.0
Arkansas,Polk,3991.0,20.2,1287.0,28.9,39722.0
Arkansas,Pope,10218.0,16.9,2829.0,19.9,47519.0
Arkansas,Prairie,1190.0,15.0,361.0,22.1,46205.0
Arkansas,Pulaski,56020.0,14.6,17679.0,19.9,52684.0
Arkansas,Randolph,3036.0,17.3,1051.0,25.8,42875.0
Arkansas,St. Francis,6679.0,32.0,2158.0,42.3,34389.0
Arkansas,Saline,11665.0,9.6,4118.0,14.9,66944.0
Arkansas,Scott,1983.0,19.6,683.0,29.8,38065.0
Arkansas,Searcy,1740.0,22.4,516.0,34.1,34712.0
Arkansas,Sebastian,19923.0,15.9,6508.0,21.7,48945.0
Arkansas,Sevier,2962.0,17.7,1195.0,25.0,43493.0
Arkansas,Sharp,4007.0,23.3,1259.0,35.9,37591.0
Arkansas,Stone,2378.0,19.3,721.0,30.8,36930.0
Arkansas,Union,7216.0,18.9,2350.0,25.7,46602.0
Arkansas,Van Buren,3235.0,19.9,928.0,29.6,38096.0
Arkansas,Washington,34731.0,15.1,9064.0,16.0,52158.0
Arkansas,White,11613.0,15.4,3606.0,20.4,46388.0
Arkansas,Woodruff,1678.0,27.1,508.0,38.1,36568.0
Arkansas,Yell,3265.0,15.6,1202.0,23.7,44469.0
California,Alameda,146315.0,8.9,32720.0,9.8,107589.0
California,Alpine,193.0,17.2,58.0,29.6,58112.0
California,Amador,3462.0,9.8,737.0,12.5,62640.0
California,Butte,34503.0,16.1,6997.0,16.1,58394.0
California,Calaveras,5477.0,12.1,1479.0,19.6,68248.0
California,Colusa,2554.0,12.0,881.0,15.3,59048.0
California,Contra Costa,90482.0,7.9,25256.0,9.9,106555.0
California,Del Norte,4445.0,17.9,1454.0,25.8,48979.0
California,El Dorado,16649.0,8.7,3418.0,9.1,86202.0
California,Fresno,200873.0,20.5,80569.0,29.0,56926.0
California,Glenn,3397.0,12.1,1347.0,18.1,55682.0
California,Humboldt,25136.0,19.1,5120.0,20.5,51134.0
