state,county,RUCC_2013,Description
Alabama,Autauga,2,"Metro - Counties in metro areas of 250,000 to 1 million population                                                                                                                                      "
Alabama,Baldwin,3,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        "
Alabama,Barbour,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                "
Alabama,Bibb,1,Metro - Counties in metro areas of 1 million population or more                                                                                                                                         
Alabama,Blount,1,Metro - Counties in metro areas of 1 million population or more                                                                                                                                         
Alabama,Bullock,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                "
Alabama,Butler,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                "
Alabama,Calhoun,3,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        "
Alabama,Chambers,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                "
Alabama,Cherokee,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                "
Alabama,Chilton,1,Metro - Counties in metro areas of 1 million population or more                                                                                                                                         
Alabama,Choctaw,9,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area                                                                                                           "
Alabama,Clarke,7,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area                                                                                                                            "
Alabama,Clay,9,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area                                                                                                           "
Alabama,Cleburne,8,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               "
Alabama,Coffee,4,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area                                                                                                                                 "
Alabama,Colbert,3,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        "
Alabama,Conecuh,7,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area                                                                                                                            "
Alabama,Coosa,8,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               "
Alabama,Covington,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                "
Alabama,Crenshaw,8,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               "
Alabama,Cullman,4,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area                                                                                                                                 "
Alabama,Dale,4,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area                                                                                                                                 "
Alabama,Dallas,4,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area                                                                                                                                 "
Alabama,DeKalb,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                "
Alabama,Elmore,2,"Metro - Counties in metro areas of 250,000 to 1 million population                                                                                                                                      "
Alabama,Escambia,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                "
Alabama,Etowah,3,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        "
Alabama,Fayette,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                "
Alabama,Franklin,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                "
Alabama,Geneva,3,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        "
Alabama,Greene,8,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               "
Alabama,Hale,3,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        "
Alabama,Henry,3,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        "
Alabama,Houston,3,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        "
Alabama,Jackson,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                "
Alabama,Jefferson,1,Metro - Counties in metro areas of 1 million population or more                                                                                                                                         
Alabama,Lamar,8,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               "
Alabama,Lauderdale,3,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        "
Alabama,Lawrence,3,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        "
Alabama,Lee,3,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        "
Alabama,Limestone,2,"Metro - Counties in metro areas of 250,000 to 1 million population                                                                                                                                      "
Alabama,Lowndes,2,"Metro - Counties in metro areas of 250,000 to 1 million population                                                                                                                                      "
