city,state,Other Funds - Cash and Securities,Bond Funds - Cash and Securities,Sinking Funds - Cash and Securities,Bond Fund - Cash and Deposits,Employee Retirement - Total Other Securities,Total Federal Securities,Cash and Deposits,Sinking Fund - Cash and Deposits,Other Funds - Cash and Deposits
Nevada-City,California,912.64,,,,,,,,
Port-Jervis,New-York,299.84,186.38,,,,,,,
Richmond,California,1131.36,26.07,683.27,,,,,,
Kansas-City,Missouri,3184.50,96.85,1914.64,,,,,,
Annapolis,Maryland,736.97,536.29,23.84,,,,,,
Durango,Colorado,2098.72,267.75,41.90,,,,,,
Murfreesboro,Tennessee,1228.47,,2.91,,,,,,
Lincoln,Nebraska,1964.33,,11.12,,,,,,
Bloomfield,New-Mexico,391.54,6.12,205.86,,,,,,
Junction,Texas,1083.61,,148.50,,,,,,
Largo,Florida,886.82,,,,,,,,
Portales,New-Mexico,1844.44,157.71,,,,,,,
Roselle,Illinois,771.05,,,,,,,,
Los-Angeles,California,1342.13,127.85,438.04,,,,,,
Conway,Arkansas,1296.53,140.44,3217.60,,,,,,
Tucson,Arizona,842.61,4.54,4.69,,,,,,
Bloomington,Indiana,2180.57,1128.42,366.52,,,,,,
Douglas,Georgia,4588.20,,,,,,,,
Gillette,Wyoming,6163.53,,,,,,,,
Birmingham,Alabama,1502.71,359.07,608.43,,,,,,
Santa-Rosa,California,1739.77,167.73,263.85,,,,,,
Emlenton,Pennsylvania,1307.16,,,,,,,,
Jackson,Wisconsin,1717.36,,111.53,,,,,,
South-Chicago-Heights,Illinois,722.46,,,,,,,,
Cheboygan,Michigan,964.15,,,,,,,,
Homewood,Alabama,1137.76,4221.89,5086.18,,,,,,
Danbury,Connecticut,1110.20,6.82,,,,,,,
Oakland,Tennessee,119.71,,,,,,,,
Rehoboth-Beach,Delaware,9326.00,3136.48,,,,,,,
Douglas,Arizona,624.34,,,,,,,,
Taos,New-Mexico,2253.84,322.82,138.64,,,,,,
Salisbury,Maryland,1543.22,258.51,,,,,,,
Fort-Lauderdale,Florida,2397.34,663.16,85.47,,,,,,
Bloomingdale,Illinois,970.43,,,,,,,,
Cincinnati,Ohio,2763.69,672.06,490.35,,,,,,
Waukesha,Wisconsin,378.68,,6.58,,,,,,
Springfield,Illinois,1835.13,,171.26,,,,,,
Carol-Stream,Illinois,1481.47,,,,,,,,
Rock-Island,Illinois,745.32,,,,,,,,
Early,Texas,368.04,1783.23,78.16,,,,,,
Decatur,Alabama,2075.97,136.60,1974.97,,,,,,
Winfield,Illinois,1028.02,,,,,,,,
Charlottesville,Virginia,5050.95,164.03,1011.07,,,,,,
Jackson,Ohio,3515.25,,4420.39,,,,,,
West-Memphis,Arkansas,1842.19,34.18,268.26,,,,,,
Elkhart,Indiana,2002.31,336.22,54.76,,,,,,
Chico,California,1051.60,331.61,150.98,,,,,,
Mineral-Springs,Arkansas,87.11,,,,,,,,
Rochester,New-York,1592.46,56.34,88.93,,,,,,
Pinellas-Park,Florida,1197.51,21.72,0.67,,,,,,
Sioux-Falls,South-Dakota,1091.22,83.19,393.70,,,,,,
Crestview,Florida,729.37,,11.47,,,,,,
Albertville,Minnesota,1268.34,,,,,,,,
Pompano-Beach,Florida,1518.97,243.06,451.93,,,,,,
Daytona-Beach,Florida,1504.71,68.12,46.97,,,,,,
