city,state,Long Term Debt - Beginning Outstanding - Unspecified Public Purpose,Outstanding Unspecified Public Purpose,Retired Unspecified Public Purpose,Long Term Debt - Outstanding Unspecified Public Purpose,Beginning Outstanding - Unspecified Public Purpose,Retired Nonguaranteed - Public Debt for Private Purpose,Beginning Outstanding - Public Debt for Private Purpose,"Issue, Unspecified Public Purpose",Short Term Debt Outstanding - Beginning,End of Fiscal Year,Outstanding Nonguaranteed - Industrial Revenue,"Issue, Nonguaranteed - Public Debt for Private Purpose",Long Term Debt - Beginning Outstanding - Public Debt for Private Purpose,Short Term Debt Outstanding - End of Fiscal Year,Beginning,Long Term Debt - Outstanding Nonguaranteed - Industrial Revenue,Long Term Debt - Retired Unspecified Public Purpose,Beginning Outstanding - Other,Outstanding Nonguaranteed - Other - Other,Outstanding - Full Faith and Credit - Other - Other,Beginning Outstanding - Gas Utilities,Outstanding - Full Faith and Credit - Gas Utilities,Offsets - Nonguaranteed,Issue - Full Faith and Credit - Gas Utilities,Retired Nonguaranteed - Other - Other,Beginning Outstanding - Industrial Revenue,Offsets - Full Faith and Credit,"Issue, Nonguaranteed - Other - Other",Refunded - Issued,Refunded - Retired,Issue - Full Faith and Credit - Other - Other,Retired - Full Faith and Credit - Other - Other,Outstanding - Full Faith and Credit - Transit Utilities,Retired Nonguaranteed - Industrial Revenue,Beginning Outstanding - Transit Utilities,Issue - Full Faith and Credit - Transit Utilities,Retired - Full Faith and Credit - Gas Utilities,Retired - Full Faith and Credit - Transit Utilities,"Issue, Unspecified - Other - Other","Long Term Debt - Issue, Unspecified Public Purpose",Retired Unspecified - Other - Other,Beginning Outstanding - Water Utilities,Outstanding Nonguaranteed - Water Utilities,"Beginning Outstanding, Education - Other",Outstanding - Full Faith and Credit - Elementary and Secondary Education,Retired Unspecified - Elementary and Secondary Education,Retired Unspecified - Water Utilities
Nevada-City,California,1319.25,1263.98,54.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Port-Jervis,New-York,,,80.51,1188.71,774.60,765.95,765.95,494.62,474.76,8.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Richmond,California,5411.40,5227.18,302.81,,,7.24,457.09,118.59,,,449.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kansas-City,Missouri,,,674.92,5498.59,5436.92,148.36,1798.27,736.60,,,1819.18,169.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Annapolis,Maryland,3531.47,3423.22,759.66,,,3.57,27.41,651.40,,,23.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Durango,Colorado,1483.74,1356.14,127.60,,,0.74,9.91,,,,9.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Murfreesboro,Tennessee,,,283.78,2776.14,2510.79,,,549.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lincoln,Nebraska,4404.36,4170.34,696.71,,,,,462.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bloomfield,New-Mexico,2269.49,2136.63,171.76,,,,,39.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Junction,Texas,2059.07,1930.12,128.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yakima,Washington,966.73,877.37,90.41,,,,,1.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Largo,Florida,,,50.51,426.20,218.89,,,257.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
