city,state,Construction - Central Staff Services,Regular Highways,Police Protection,Parks and Recreation,Current Operations - Police Protection,Sewerage,Local Fire Protection,Water Utilities,Central Staff Services,Protective Inspection and Regulation - Other,Financial Administration,General - Interest on Debt,Other Capital Outlay - Sewerage,Water Utilities - Interest on Debt,"Assistance and Subsidies - Public Welfare, Cash Assistance Programs - Other",Construction - Regular Highways,General - Other,Current Operations - General - Other,Solid Waste Management,General Public Buildings,Housing and Community Development,Transit Utilities,Corrections - Other,Judicial and Legal Services,Health - Other,Parking Facilities,Intergovernmental to Local - Other - Financial Administration,Intergovernmental to State - Transit Utilities,Other Capital Outlay - Local Fire Protection,Total Salaries and Wages,Construction - Housing and Community Development,Sea and Inland Port Facilities,Libraries,Miscellaneous Commercial Activities - Other,Intergovernmental to Local - Other - General - Other,Other - Health - Other,Other - Gas Utilities,Other - Sewerage,Other - Police Protection,Other - Judicial and Legal Services,Other Capital Outlay - General Public Building,Construction - Sewerage,Air Transportation,Public Welfare - Other,Intergovernmental to Local - Other - Transit Utilities,Other Capital Outlay - General - Other,Other Capital Outlay - Parks and Recreation,Construction - Parks and Recreation,Current Operations - Water Utilities,Construction - Electric Utilities,Elementary and Secondary Education,Current Operations - Electric Utilities,"Public Welfare, Vendor Payments for Medical Care",Electric Utilities - Interest on Debt,Other Capital Outlay - Police Protection,Electric Utilities,General Public Building,Gas Utilities,Other Capital Outlay - Regular Highways,Construction - Water Utilities,Intergovernmental to Local - Other - Correctional Institutions,Other - General - Other,Other - Central Staff Services,Intergovernmental to Local - Other - Police Protection,Natural Resources - Other,Correctional Institutions,Other - Transit Utilities,Other Capital Outlay - Solid Waste Management,Construction - Police Protection,Construction - Air Transportation,Intergovernmental to Local - Other - Public Welfare - Other,Other - Other Higher Education,Other - Housing and Community Development,Other - Elementary and Secondary Education,Other - Natural Resources - Other,Intergovernmental to State - Health - Other,Other Higher Education,Other Capital Outlay - Miscellaneous Commercial Activities - Other,Intergovernmental to Local - Other - Air Transportation,Intergovernmental to State - Air Transportation,Current Operations - Housing and Community Development,Intergovernmental to Local - Other - Housing and Community Development,Intergovernmental to State - Housing and Community Development,Protective Inspection and Regulations - Other,Other Capital Outlay - Housing and Community Development,Construction - General - Other,Gas Utilities - Interest on Debt,Intergovernmental to Local - Other - Libraries,Other Capital Outlay - Water Utilities,Other Capital Outlay - Electric Utilities,Intergovernmental to Local - Other - Water Utilities,Other - Financial Administration,Other - Local Fire Protection,Other - Parks and Recreation,Current Operations - Regular Highways,Current Operations - Sewerage,Current Operations - Elementary and Secondary Education,Other Capital Outlay - Elementary and Secondary Education,Construction - Parking Facilities,Current Operations - Central Staff Services,Other Capital Outlay - Protective Inspection and Regulation - Other,Toll Highways,Other Capital Outlay - Central Staff Services,Other - Water Utilities,Other - Solid Waste Management,Other Capital Outlay - Libraries,Intergovernmental to Local - Other - Central Staff Services,Other - Correctional Institutions,Other - Parking Facilities,Other - Public Welfare - Other,Other - Air Transportation,"Assistance and Subsidies - Public Welfare, Federal Categorical Assistance Programs","Public Welfare, Cash Assistance Programs - Other","Public Welfare, Vendor Payments for Other Purposes",Other - Libraries,Hospitals,Construction - Elementary and Secondary Education,Intergovernmental to Local - Other - Elementary and Secondary Education,Other Capital Outlay - Natural Resources - Other,Other - Regular Highways,Intergovernmental to Local - Other - Sewerage,Construction - Local Fire Protection,Current Operations - Gas Utilities,Other Capital Outlay - Financial Administration,Transit Utilities - Interest on Debt,Current Operations - Local Fire Protection,Intergovernmental to State - General - Other,Intergovernmental to State - Elementary and Secondary Education,Intergovernmental to Local - Other - Solid Waste Management,Other Capital Outlay - Air Transportation,Other - Hospitals,Construction - Solid Waste Management,Intergovernmental to Local - Other - Local Fire Protection,Current Operations - Correctional Institutions,Current Operations - Hospitals,Intergovernmental to Local - Other - Hospitals,Other Capital Outlay - Hospitals,Intergovernmental to State - Regular Highways,General,Own Hospitals,Fire Protection,Welfare - Other,Health Services - Other,Welfare Institutions,"Welfare, Vendor Payments for Other Purposes",Employee Retirement - Benefit Payments,Securities - Corporate Bonds (market),Total Cash and Deposits,Withdrawals,Equipment Only - Own Hospitals,Judicial and Legal,Correction - Other,Intergovernmental to State - Corrections,Welfare,Judicial,Central Staff,Natural Resource - Other,Intergovernmental to State - Sewerage,Construction - Public Welfare - Other,Intergovernmental to Local - Other - Health - Other,Intergovernmental to State - Electric Utilities,Construction - Hospitals,Other Capital Outlay - Health - Other,Construction - Gas Utilities,"Current Operations - Public Welfare, Vendor Payments for Other Purposes",Construction - General Public Buildings,"Public Welfare, Federal Categorical Assistance Programs",Construction - Transit Utilities,Current Operations - Health - Other,Liquor Stores,Other Capital Outlay - Transit Utilities,Intergovernmental to State - Water Utilities,Other - Electric Utilities,Intergovernmental to Local - Other - Judicial and Legal Services,Intergovernmental to State - Judicial and Legal Services,Intergovernmental to Local - Other - Parking Facilities,Current Operations - Financial Administration,Current Operations - Parks and Recreation,Construction - Sea and Inland Port Facilities,Intergovernmental to Local - Other - Sea and Inland Port Facilities,Other Capital Outlay - Sea and Inland Port Facilities,Intergovernmental to Local - Other - Electric Utilities,Other - Protective Inspection and Regulations,Intergovernmental to Local - Other - Parks and Recreation,Construction - Natural Resources - Other,Current Operations - Liquor Stores,Other Capital Outlay - Gas Utilities,Other Capital Outlay - Parking Facilities,Intergovernmental to Local - Other - Corrections,Current Operations - General Public Buildings,Current Operations - Air Transportation,Other - Corrections,Construction - Toll Highways,Intergovernmental to Local - Other - Regular Highways,Intergovernmental to State - Police Protection,Construction - Protective Inspection and Regulation - Other,Current Operations - Transit Utilities,Construction - Financial Administration,Intergovernmental to State - Natural Resources - Other,Other Capital Outlay - Public Welfare - Other,Public Welfare,Public Welfare Institutions,Other - Health,Construction - Libraries,Corrections,Intergovernmental to State - Hospitals,Intergovernmental to State - Financial Administration,Higher Education Auxiliary Enterprises,Intergovernmental to State - Public Welfare - Categorical Assistance Programs,Employee Retirement - Corporate Stocks,Corporate Bonds,Benefit Payments,Intergovernmental to Local - Other - Natural Resources - Other,Intergovernmental to State - Solid Waste Management,Current Operations - Toll Highways,Current Operations - Solid Waste Management
Nevada-City,California,73.06,251.91,53.05,227.13,554.32,388.18,10.17,3.18,0.95,61.94,0.95,53.05,30.81,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Port-Jervis,New-York,,96.63,1.05,31.55,,30.85,24.89,195.84,45.81,19.98,63.45,75.02,,,171.42,118.84,2.69,522.32,71.16,52.00,14.72,12.62,11.80,6.54,4.09,1.64,3.39,0.12,7.13,775.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Richmond,California,,1.75,3.64,0.75,595.37,116.51,1.89,,325.34,77.08,29.45,158.13,,,,,42.98,,,,316.63,12.96,,,,,,,,7.89,133.55,31.75,51.76,9.14,11.56,5.57,3.71,3.44,2.51,1.81,48.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kansas-City,Missouri,,128.92,452.88,137.87,,252.13,7.59,179.44,106.58,,5.96,165.99,,26.22,,,148.33,854.14,,,84.28,,,36.07,0.51,9.19,,,,831.57,,,,,,,,,,,,176.60,166.67,24.08,126.27,15.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Annapolis,Maryland,,14.53,,131.17,467.51,194.02,1.43,153.28,8.41,146.83,64.86,47.57,,,,,7.42,,10.56,,15.58,161.16,,31.18,,115.93,,,,1315.15,,,,,,,,,,,,,,,,,16.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Durango,Colorado,,384.70,431.09,520.21,,205.92,205.82,,174.41,10.80,140.30,80.90,,,,,502.93,,269.65,44.06,,163.39,,32.63,,56.92,,,,,,,,13.07,,,,,,,,,,,,4.59,,127.08,535.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Murfreesboro,Tennessee,,0.34,198.12,31.50,,,20.88,2.96,0.23,0.64,0.07,42.84,,13.46,,,1.73,,6.60,4.48,7.97,0.28,,0.03,,,,,,477.61,,,7.91,3.32,,,,,,,,,0.05,0.62,,,,,,135.94,8.97,1050.77,0.14,0.88,43.64,8.60,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lincoln,Nebraska,,60.27,2.16,1.32,,2.67,1.38,1.79,0.01,1.04,0.01,176.17,,,,183.42,0.73,160.69,2.03,3.70,0.35,44.63,,,80.09,23.40,,,,475.49,,,0.44,,,,,,,,,,,29.67,,,,,,,,,,,,,,0.47,2.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bloomfield,New-Mexico,,70.27,0.78,2.34,283.93,7.29,93.56,22.64,50.36,,48.67,43.46,,21.21,,,73.39,,87.44,5.86,,,,15.74,6.51,,,,67.79,535.98,,,23.16,,,,,,2.21,,,,,16.40,,,,,,,,,,,,5.47,4.68,,,23.03,8.20,6.77,1.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Junction,Texas,,29.12,,16.22,138.10,33.69,0.42,41.60,,,71.55,,,125.21,,25.37,61.56,,11.23,,,,,8.74,,,,,,296.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
