city,state,grocery stores per 10k,convenience stores (no gas) per 10k,convenience stores (with gas) per 10k,full-service restaurants per 10k,supercenters and club stores per 10k
Nevada-City,California,2.58,0.93,1.65,10.1,
Port-Jervis,New-York,3.0,1.22,2.5,8.34,0.11
Richmond,California,1.78,0.51,1.75,6.73,0.05
Kansas-City,Missouri,1.64,0.6,2.78,6.91,0.15
Annapolis,Maryland,1.55,1.1,2.27,5.82,0.12
Durango,Colorado,2.02,0.81,4.85,15.5,0.2
Murfreesboro,Tennessee,1.16,0.37,4.03,6.48,0.17
Mars-Hill,Maine,4.03,2.22,7.78,9.17,0.14
Lincoln,Nebraska,1.53,0.15,3.64,6.22,0.15
Bloomfield,New-Mexico,0.82,0.41,5.73,5.07,0.16
Junction,Texas,4.5,4.5,18.0,22.5,
Yakima,Washington,2.24,0.99,3.45,5.17,0.3
Largo,Florida,2.19,1.82,2.66,8.95,0.07
Portales,New-Mexico,0.52,,3.66,5.23,0.52
Roselle,Illinois,1.89,1.05,2.16,7.24,0.09
Los-Angeles,California,2.12,0.58,1.23,7.15,0.03
Conway,Arkansas,1.15,0.48,4.12,7.1,0.19
Tucson,Arizona,1.22,0.52,2.27,6.17,0.09
Shirley,New-York,3.4,1.44,1.69,8.15,0.06
Bloomington,Indiana,1.88,0.55,3.06,8.15,0.08
Douglas,Georgia,1.49,1.74,9.96,4.48,0.25
Plymouth,Massachusetts,1.74,2.84,2.2,7.37,0.04
Gillette,Wyoming,1.48,,4.7,4.7,
Birmingham,Alabama,2.05,0.99,5.77,5.42,0.18
Santa-Rosa,California,2.81,1.02,1.99,10.1,0.04
Queensbury,New-York,4.7,0.46,5.92,20.6,0.15
Emlenton,Pennsylvania,2.74,0.91,3.1,6.39,0.18
Jackson,Wisconsin,1.25,0.16,3.83,7.11,0.08
South-Chicago-Heights,Illinois,2.77,0.93,1.53,6.67,0.04
Cheboygan,Michigan,2.62,3.74,6.36,11.9,0.37
Homewood,Alabama,2.05,0.99,5.77,5.42,0.18
Danbury,Connecticut,2.5,0.85,1.7,9.67,0.06
Oakland,Tennessee,1.08,0.81,4.31,5.12,
La-Crosse,Wisconsin,1.52,,3.5,7.53,0.18
Rehoboth-Beach,Delaware,2.45,0.98,4.62,12.8,0.16
Douglas,Arizona,1.25,0.63,4.38,7.82,
Taos,New-Mexico,2.22,0.63,4.13,17.4,
Salisbury,Maryland,1.61,1.72,3.97,6.54,0.32
Fort-Lauderdale,Florida,2.05,1.53,2.24,8.0,0.09
Bloomingdale,Illinois,1.89,1.05,2.16,7.24,0.09
Cincinnati,Ohio,1.82,1.49,2.66,7.48,0.12
Waukesha,Wisconsin,1.51,0.13,2.8,7.47,0.03
Springfield,Illinois,1.44,0.26,3.46,8.05,0.15
Carol-Stream,Illinois,1.89,1.05,2.16,7.24,0.09
Rock-Island,Illinois,1.56,0.88,4.01,7.54,0.07
Early,Texas,1.83,0.78,9.41,8.36,0.26
Decatur,Alabama,1.92,0.44,7.75,4.7,0.17
Winfield,Illinois,1.89,1.05,2.16,7.24,0.09
Jackson,Ohio,2.41,1.2,5.12,5.12,0.3
West-Memphis,Arkansas,2.69,0.19,4.8,2.88,0.19
Elkhart,Indiana,1.82,0.15,3.19,6.83,0.2
Edison,New-Jersey,2.82,2.2,0.88,6.09,0.05
Chico,California,2.29,0.82,2.25,6.1,0.09
Mineral-Springs,Arkansas,2.86,0.72,7.15,3.58,0.72
Columbus,Georgia,1.93,0.11,4.82,6.48,0.05
Rochester,New-York,2.39,0.96,2.32,7.54,0.1
Pinellas-Park,Florida,2.19,1.82,2.66,8.95,0.07
Sioux-Falls,South-Dakota,1.31,0.51,4.62,6.28,0.17
Crestview,Florida,1.82,0.55,4.64,9.66,0.22
Albertville,Minnesota,1.28,0.34,3.59,6.16,0.09
Prosser,Washington,1.2,0.63,3.4,6.11,0.25
Pompano-Beach,Florida,2.05,1.53,2.24,8.0,0.09
Daytona-Beach,Florida,1.8,1.52,3.6,7.5,0.12
Poulsbo,Washington,1.81,1.39,2.23,7.26,0.13
Portland,Tennessee,1.77,0.39,4.26,5.64,0.07
Laredo,Texas,1.86,0.43,3.8,5.57,0.17
Kapaa,Hawaii,3.51,2.55,0.96,13.8,0.16
Las-Vegas,Nevada,1.41,0.96,2.21,5.68,0.08
Trenton,New-Jersey,2.94,1.51,0.63,7.42,0.05
Hillsdale,New-Jersey,2.9,1.51,1.07,8.07,0.06
North-Miami,Florida,2.51,1.2,1.98,6.76,0.06
Shepherd,Texas,0.81,0.4,3.23,1.21,
Sacramento,California,1.85,0.62,1.69,6.68,0.07
Bridgeport,Connecticut,2.5,0.85,1.7,9.67,0.06
Endicott,New-York,1.64,0.67,4.14,8.13,0.1
Newark,Delaware,1.56,1.35,2.13,6.4,0.06
Peoria,Illinois,1.97,0.44,3.33,8.69,0.11
Olympia,Washington,1.72,1.18,2.94,6.97,0.17
Somerton,Arizona,1.95,0.58,2.53,4.11,0.11
Cleveland,Tennessee,1.57,0.52,6.82,5.77,0.1
Washburn,Maine,4.03,2.22,7.78,9.17,0.14
Guymon,Oklahoma,3.02,1.01,4.52,9.05,
Lemon-Grove,California,1.94,0.77,1.65,7.56,0.06
Omaha,Nebraska,1.57,0.3,3.11,7.9,0.14
Edinburg,Texas,1.12,0.95,3.4,4.78,0.09
North-Platte,Nebraska,1.41,0.56,6.49,8.18,0.28
Encinitas,California,1.94,0.77,1.65,7.56,0.06
Clarkston,Georgia,1.75,0.82,3.53,7.09,0.04
Batesville,Mississippi,1.69,3.11,10.1,5.37,0.28
Hayward,Wisconsin,2.93,1.17,9.96,27.5,0.59
Louisville,Tennessee,1.34,0.42,5.1,6.27,0.08
Fairview,Tennessee,1.81,0.3,3.26,8.69,0.18
San-Antonio,Texas,1.02,1.14,3.06,6.75,0.12
Lowell,Massachusetts,1.71,2.14,1.38,7.84,0.03
Chesapeake-City,Maryland,2.01,1.11,3.32,4.73,
Brady,Texas,2.55,,7.65,12.7,
Idaho-Falls,Idaho,0.93,0.31,4.36,7.68,0.31
Fall-River,Massachusetts,2.0,1.93,2.35,8.2,0.09
Ontario,California,1.5,0.57,1.6,4.69,0.05
Tupelo,Mississippi,2.37,0.75,8.98,8.23,0.37
Christopher,Illinois,1.52,0.51,5.58,6.6,0.25
Arnolds-Park,Iowa,2.4,0.6,6.0,23.4,0.6
Cheyenne,Wyoming,1.04,0.12,3.35,6.36,0.12
Cookeville,Tennessee,2.29,0.57,7.74,8.03,0.29
Bristol,Connecticut,2.46,1.05,2.32,8.63,0.06
Warwick,Rhode-Island,1.37,0.89,3.09,10.0,0.12
Yuma,Arizona,1.95,0.58,2.53,4.11,0.11
Freehold,New-Jersey,2.57,1.82,0.8,9.71,0.08
Vienna,Virginia,1.81,1.29,1.62,6.9,0.03
Box-Elder,Montana,1.21,0.6,4.84,6.65,
Indianapolis,Indiana,1.71,0.35,3.01,7.24,0.23
Alpine,Texas,6.49,,4.33,12.9,
Levelland,Texas,0.9,0.45,4.96,4.51,
Texico,New-Mexico,1.33,0.44,4.89,5.78,0.22
East-Providence,Rhode-Island,2.06,1.5,2.1,7.96,0.02
Redmond,Oregon,2.21,0.98,2.02,12.4,0.33
Albany,New-York,2.51,1.07,3.15,10.1,0.07
Fern-Park,Florida,1.54,1.08,2.96,8.03,0.12
Santa-Fe-Springs,California,2.12,0.58,1.23,7.15,0.03
Charleston,South-Carolina,2.56,0.55,4.08,11.4,0.15
Toledo,Ohio,1.67,2.22,2.98,7.55,0.14
Collegeville,Pennsylvania,1.63,1.16,1.77,7.61,0.05
Ashland,Kentucky,2.27,0.21,6.19,6.81,0.21
Atascadero,California,2.29,0.69,2.22,11.0,0.04
Boston,Massachusetts,2.47,3.29,0.74,10.5,
College-Station,Texas,1.23,1.29,4.1,6.38,0.12
Mitchell,South-Dakota,1.58,0.53,6.85,8.43,0.53
Rowlett,Texas,1.64,1.15,2.82,6.73,0.1
Pittsfield,Massachusetts,2.54,1.61,4.08,15.0,
Dover,Delaware,1.58,1.19,3.43,4.81,0.13
Myrtle-Beach,South-Carolina,2.24,0.68,6.57,18.3,0.28
Columbia,Maryland,1.54,0.7,1.91,5.5,0.07
Stamford,Connecticut,2.5,0.85,1.7,9.67,0.06
Hayward,California,2.5,0.67,1.6,8.94,0.03
El-Centro,California,2.49,0.62,3.23,4.85,0.06
Lecanto,Florida,1.36,1.21,3.43,6.15,0.07
Madisonville,Tennessee,1.56,0.89,6.04,6.48,0.22
Florence,South-Carolina,2.81,1.06,7.44,7.14,0.15
Suwanee,Georgia,1.62,0.66,3.94,9.28,0.18
Burlington,Iowa,1.23,0.25,6.65,6.65,0.25
Erie,Pennsylvania,1.65,0.93,2.9,6.98,0.11
Sayre,Oklahoma,2.4,1.44,10.1,11.5,
Ambler,Pennsylvania,1.63,1.16,1.77,7.61,0.05
Superior,Wisconsin,2.06,0.46,5.26,9.15,
Woodstock,Virginia,2.48,1.24,6.45,6.7,0.25
Meadville,Pennsylvania,2.59,0.68,2.59,7.89,0.23
Zanesville,Ohio,1.64,1.06,4.22,6.22,0.23
Show-Low,Arizona,1.71,0.27,4.95,7.92,0.09
Augusta,Georgia,1.87,0.71,5.97,6.68,0.1
Lamesa,Texas,1.45,0.73,2.18,5.09,
Independence,Kentucky,1.72,0.96,3.32,6.9,
Elmira,New-York,1.36,1.59,3.3,7.62,0.11
Hattiesburg,Mississippi,2.16,0.64,7.12,5.47,0.25
