city,state,total population 2019,percent urban 2019,percent rural 2019,median age,median income 2019,median house price 2019,median rent 2019,cost of living index,population density 2019
Nevada-City,California,3148.0,99,1,52.3,35525.0,469921.0,1215.0,108.9,1495.0
Port-Jervis,New-York,8558.0,100,0,43.9,29529.0,157511.0,1073.0,133.2,3375.0
Richmond,California,110567.0,100,0,36.5,32059.0,572400.0,1679.0,150.2,3688.0
Kansas-City,Missouri,495327.0,99,1,35.3,32517.0,168400.0,979.0,87.1,1580.0
Annapolis,Maryland,39223.0,100,0,37.5,48063.0,432491.0,1614.0,136.0,5829.0
Durango,Colorado,18973.0,98,2,34.9,44579.0,532992.0,1356.0,96.2,2797.0
Murfreesboro,Tennessee,146900.0,100,0,31.2,31117.0,273500.0,1113.0,89.0,3768.0
Mars-Hill,Maine,1493.0,,,44.0,21913.0,80876.0,,87.5,43.0
Lincoln,Nebraska,289102.0,100,0,33.5,33249.0,189400.0,857.0,84.4,3873.0
Bloomfield,New-Mexico,7685.0,95,5,33.4,20616.0,152160.0,696.0,85.9,1534.0
Junction,Texas,2404.0,100,0,37.4,21972.0,102349.0,759.0,78.5,1051.0
Yakima,Washington,93637.0,100,0,33.4,22455.0,216600.0,842.0,95.4,4653.0
Largo,Florida,84948.0,100,0,48.9,28237.0,114600.0,1197.0,93.4,5424.0
Portales,New-Mexico,11610.0,98,2,26.9,18587.0,122640.0,778.0,83.5,1695.0
Roselle,Illinois,22463.0,100,0,40.9,41078.0,263543.0,1466.0,105.8,4180.0
Los-Angeles,California,3979576.0,100,0,35.9,37779.0,697200.0,1554.0,144.8,8484.0
Conway,Arkansas,67638.0,96,4,28.7,29796.0,202500.0,828.0,85.3,1930.0
Tucson,Arizona,548073.0,99,1,34.5,24808.0,172700.0,846.0,89.4,2815.0
Shirley,New-York,27854.0,,,35.8,35262.0,287722.0,1936.0,149.6,2503.0
Bloomington,Indiana,85755.0,99,1,23.7,23621.0,231300.0,949.0,88.3,4345.0
Douglas,Georgia,11695.0,98,2,30.8,19791.0,119544.0,687.0,79.3,908.0
Plymouth,Massachusetts,7494.0,,,44.8,48722.0,373385.0,1335.0,138.5,3318.0
Gillette,Wyoming,32030.0,99,1,31.7,33508.0,230827.0,863.0,84.9,2396.0
Birmingham,Alabama,209403.0,99,1,36.7,25552.0,98800.0,839.0,86.6,1397.0
Santa-Rosa,California,176753.0,100,0,39.2,40073.0,603100.0,1728.0,146.1,4405.0
Queensbury,New-York,27901.0,,,44.7,44388.0,240817.0,,110.4,443.0
Emlenton,Pennsylvania,573.0,0,100,43.0,30985.0,100255.0,774.0,91.5,692.0
Jackson,Wisconsin,7200.0,100,0,44.1,37830.0,232006.0,1006.0,98.1,2857.0
South-Chicago-Heights,Illinois,4003.0,100,0,35.2,19970.0,109394.0,1067.0,103.4,2608.0
Cheboygan,Michigan,4686.0,88,12,40.0,21628.0,88249.0,733.0,77.2,690.0
Homewood,Alabama,25377.0,100,0,31.3,46743.0,371628.0,1120.0,90.2,3055.0
Danbury,Connecticut,84694.0,96,4,40.4,36720.0,296400.0,1494.0,132.1,2011.0
Oakland,Tennessee,8345.0,96,4,37.7,39061.0,213248.0,1562.0,87.9,2316.0
La-Crosse,Wisconsin,51227.0,100,0,29.5,27130.0,161659.0,810.0,99.4,2544.0
Rehoboth-Beach,Delaware,1546.0,100,0,65.4,141811.0,1000000.0,1231.0,100.1,1310.0
Douglas,Arizona,16193.0,96,4,34.1,18819.0,105219.0,574.0,81.2,2096.0
Taos,New-Mexico,5929.0,99,1,51.9,25905.0,275255.0,710.0,95.2,1103.0
Salisbury,Maryland,32935.0,100,0,30.1,22645.0,176223.0,1048.0,92.6,2976.0
Fort-Lauderdale,Florida,182437.0,100,0,41.1,45979.0,359200.0,1413.0,116.9,5750.0
Bloomingdale,Illinois,21779.0,100,0,42.3,45218.0,310340.0,1434.0,106.3,3219.0
Cincinnati,Ohio,303940.0,100,0,32.5,33910.0,170800.0,775.0,88.7,3898.0
Waukesha,Wisconsin,72299.0,100,0,39.7,37771.0,234700.0,994.0,98.0,3346.0
Springfield,Illinois,114230.0,100,0,40.1,33176.0,143200.0,814.0,87.0,2115.0
Carol-Stream,Illinois,39203.0,100,0,38.9,36537.0,254101.0,1221.0,104.7,4407.0
Rock-Island,Illinois,37176.0,100,0,36.5,26174.0,108893.0,707.0,86.0,2335.0
