city,state,engineers,"other management occupations, except farmers and farm managers","other sales and related occupations, including supervisors","information and record clerks, except customer service representatives","material recording, scheduling, dispatching, and distributing workers","other office and administrative support workers, including supervisors","preschool, kindergarten, elementary, and middle school teachers","supervisors, construction and extraction workers",construction laborers,computer specialists,"counselors, social workers, and other community and social service specialists",cashiers,"other production occupations, including supervisors",assemblers and fabricators,building and grounds cleaning and maintenance occupations,"law enforcement workers, including supervisors","laborers and material movers, hand",driver/sales workers and truck drivers,"electrical equipment mechanics and other installation, maintenance, and repair workers, including supervisors",registered nurses,"nursing, psychiatric, and home health aides",cooks and food preparation workers,carpenters,"retail sales workers, except cashiers",customer service representatives,health technologists and technicians,"sales representatives, services, wholesale and manufacturing",top executives,secretaries and administrative assistants,waiters and waitresses,"vehicle and mobile equipment mechanics, installers, and repairers","other food preparation and serving workers, including supervisors","bookkeeping, accounting, and auditing clerks",farmers and farm managers,"agricultural workers, including supervisors",child care workers,"other teachers, instructors, education, training, and library occupations",postsecondary teachers,"other material moving workers, except laborers",metal workers and plastic workers,"operations specialties managers, except financial managers","entertainers and performers, sports, and related workers",media and communications workers,other healthcare support occupations,extraction workers,"construction traders workers except carpenters, electricians, painters, plumbers, and construction laborers",personal appearance workers,"financial clerks, except bookkeeping, accounting and auditing clerks",lawyers,physicians and surgeons,painters and paperhangers,accountants and auditors,"teachers, secondary school",rail and water transportation workers,"advertising, marketing, promotions, public relations, and sales managers",life and physical scientists,food processing workers,"supervisors and other personal care and service workers, except child care workers","other protective service workers, including supervisors","textile, apparel, and furnishings workers",social scientists and related workers,other transportation occupations,therapists,other financial specialists,"life, physical, and social science technicians",mathematical science occupations,woodworkers,art and design workers,"pipelayers, plumbers, pipefitters, and steamfitters",bus drivers,"transportation, tourism, and lodging attendants","food and beverage serving workers, except waiters and waitresses","fishing, hunting, and forestry occupations",religious workers,"motor vehicle operators, except bus and truck drivers",printing workers,"drafters, engineering, and mapping technicians",other health diagnosing and treating practitioners and technical occupations,electricians,"supervisors, transportation, and material moving workers","judges, magistrates, and other judicial workers",legal support workers,other construction workers and helpers,financial managers,occupational and physical therapist assistants and aides,plant and system operators,communications equipment operators,"teachers, special education"
Nevada-City,California,10.7,4.6,5.7,7.6,6.3,8.2,9.5,4.7,4.4,4.2,5.9,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Port-Jervis,New-York,,,,,4.5,6.9,,,,,,8.5,4.4,9.4,4.9,6.8,5.3,5.0,4.9,4.8,4.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Richmond,California,,5.0,,,,,,,4.8,,5.8,4.0,,,11.2,,5.8,5.7,,2.8,5.2,3.7,5.1,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kansas-City,Missouri,,5.7,,,,,,,2.5,4.8,,,,,3.5,,3.2,3.2,2.7,4.7,4.7,,,,4.5,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Annapolis,Maryland,,4.9,3.4,,,5.6,5.2,,,4.2,,,,,4.3,,,,,3.6,,4.4,,,,,5.2,3.7,5.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Durango,Colorado,,6.3,4.7,4.9,,5.6,5.0,,,,,,,,4.4,,,,,,,4.7,,3.6,,,,,,4.8,3.8,3.3,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Murfreesboro,Tennessee,,7.4,3.4,,,,,,,3.7,,4.2,,2.7,,,4.6,4.4,,3.2,,,,3.6,3.1,3.2,,3.3,,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mars-Hill,Maine,,,,5.8,,7.4,6.8,,,,,4.9,4.6,,,,,9.2,3.5,,7.8,3.4,3.8,,,5.2,,,,,5.5,,,6.6,4.3,5.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lincoln,Nebraska,,5.1,,5.2,,,,,,5.0,,,,,4.2,,3.3,3.1,,4.5,3.3,3.1,,,,,,,3.2,,,,,,,,3.5,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bloomfield,New-Mexico,,4.9,6.8,,4.9,5.0,4.8,4.3,,,,6.2,,,,,,4.7,,,,3.4,,7.5,,,,,5.1,,6.7,,6.1,,,,,,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Junction,Texas,,,7.0,,,5.1,,,,,,6.2,6.5,,8.1,,,7.2,4.8,,5.1,5.5,6.8,,,,,,6.4,,4.6,5.3,,,,,,,,6.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yakima,Washington,,3.7,3.8,3.7,,4.8,5.1,,,,,,5.5,,3.7,,4.5,4.3,,,3.9,,,,,,,,,,,,,,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Largo,Florida,,7.2,,,,3.6,,,,5.2,,,,,4.9,,,,,4.0,3.7,,,3.3,6.3,,,,,3.6,7.5,,,,,,,,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Portales,New-Mexico,,3.8,7.6,5.3,,4.8,5.9,,,,,3.7,3.9,,3.5,,,6.7,7.0,,,4.0,,,,,,,10.3,,,,,,5.9,,,5.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roselle,Illinois,4.0,3.6,4.7,4.5,,6.6,,,,7.2,,,,,,,,,4.2,,,,,4.9,4.2,,3.9,,7.7,,,,,,,,,,,,4.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Los-Angeles,California,,6.0,,2.6,,2.9,,,4.2,3.2,,3.2,,,6.1,,3.6,3.3,,,5.1,2.6,,,,,,,2.7,,,,,,,,,,,,,3.2,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Conway,Arkansas,,3.4,3.9,,3.3,7.5,6.0,,,4.7,,3.7,4.1,,3.4,,,,,,,,,3.5,,,,,5.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tucson,Arizona,,5.5,,4.1,,,,,,4.3,,3.6,,,5.2,,4.4,,3.1,,4.9,2.7,,,6.4,,,,,,,,,,,,,,,,,,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shirley,New-York,,4.2,3.4,3.8,5.0,7.0,,,,,,6.3,3.8,,6.2,,,5.1,5.0,,4.3,,4.0,5.1,,,,,4.9,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bloomington,Indiana,,4.3,3.5,5.1,,5.8,,,,4.7,,4.5,,,3.7,,,,,,,4.0,,4.5,,,,,,5.5,,,,,,,,9.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Douglas,Georgia,,,3.8,,,4.3,6.5,,,,,6.4,11.8,3.8,5.9,,3.8,,,,,,,3.7,,,,,6.9,,,,,,,,,,4.0,4.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plymouth,Massachusetts,,3.8,5.9,,,4.8,5.2,,,,4.2,,3.5,,,,,6.5,6.2,3.8,5.1,,,3.3,,,3.6,,6.2,,,,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gillette,Wyoming,,5.0,4.0,,,4.3,6.0,4.2,,,,3.8,,,,,,6.5,4.8,3.8,,,,4.3,,,,,6.9,,7.2,,,,,,,,,,,,,,7.2,6.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Birmingham,Alabama,,4.2,,,,3.9,,,,,,4.4,,3.4,3.9,,8.0,7.2,,4.0,6.5,4.0,,,,3.6,,,,,,,,,,,,,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Santa-Rosa,California,,7.0,,,,,,,,4.6,,3.1,2.6,,3.0,,4.2,,,,,,,2.9,,,,,3.1,,3.0,,,,,,3.6,,,,,,,,,,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Queensbury,New-York,,6.8,4.7,,,6.9,5.4,,,,,,4.4,,3.7,3.8,,,4.5,6.2,,,,3.2,,3.4,4.9,,7.0,,,,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emlenton,Pennsylvania,5.6,,,,,14.5,8.9,,,,,6.5,4.7,,5.6,,4.7,5.2,,5.6,,,,5.8,,,,,,,5.8,,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jackson,Wisconsin,,,,,,,,,,5.1,4.1,,7.4,3.1,,,4.6,5.3,5.5,4.1,,,,,4.5,,4.9,,6.6,,,,,,,,,,,7.5,5.7,,,,,,,6.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South-Chicago-Heights,Illinois,,,3.4,5.0,3.9,8.5,,,,,,8.5,8.9,,4.3,,5.0,6.0,4.8,,,5.2,,,,4.5,,,9.2,,,,,,,,,,,9.5,,,,,,,,5.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cheboygan,Michigan,,3.9,,,3.9,5.0,3.4,,5.4,,,5.2,5.4,,4.2,4.2,,4.6,,,9.3,,,,,,,,7.8,,4.4,,,,,6.2,,,,,,,,5.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Homewood,Alabama,,5.6,3.7,,,5.5,6.1,,,4.8,,,,,,,,,,5.8,,,,4.5,,,4.8,,6.2,,,,,,,,,,,,,,,,,,,,3.9,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Danbury,Connecticut,,5.6,,3.0,,,,,,5.2,,3.0,,,6.3,,5.0,,,,6.9,3.6,4.1,,,,,,3.5,,,,,,,,,,,,,,,,,,,,,,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oakland,Tennessee,,,,4.3,3.6,,4.3,,,,,,6.6,,,,,4.8,8.9,6.6,,,,4.6,5.2,,3.8,,5.7,,,,11.8,,,5.5,,,,,,,,,,,,,,,,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La-Crosse,Wisconsin,,4.2,,,,,,,,3.1,,3.7,4.7,,6.5,,3.5,3.4,,4.0,8.2,4.2,,5.2,,3.6,,,,,,,,,,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rehoboth-Beach,Delaware,,8.0,7.1,6.1,,7.4,6.1,,,,,6.1,,,,,,,,,,,,7.3,,,,7.0,,,,,,,,,,,,,,,,,,,,,8.1,,,,9.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Douglas,Arizona,,,5.0,,4.6,5.6,4.8,,3.5,,,8.8,,,6.5,10.6,,,3.7,,,3.3,,3.8,,,,,6.6,,5.7,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taos,New-Mexico,,4.2,5.8,,3.7,,5.3,,6.0,,,4.9,,,6.0,3.8,,,,,,3.6,,4.9,,,,,4.1,4.6,,4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salisbury,Maryland,,5.5,4.5,3.5,,4.2,3.8,,,,,,4.7,,5.5,,3.9,4.9,,,,3.8,,4.1,,,,,5.6,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fort-Lauderdale,Florida,,5.4,,,,3.7,,,2.7,3.5,,,,,5.9,,,2.8,,,4.1,3.5,,,,3.1,,2.8,3.0,,,,,,,,,,,,,,,,,,,,2.4,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bloomingdale,Illinois,,4.2,4.8,4.9,,7.0,,,,5.4,,,3.8,,,,,4.0,,4.9,,,,3.7,,,4.2,,7.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cincinnati,Ohio,2.9,6.4,,,,2.7,,,,3.6,,,,,4.3,,7.3,3.2,,3.4,3.4,2.6,,,2.7,,,,,,,,,,,,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waukesha,Wisconsin,4.6,5.1,,,,3.4,,,,2.7,,,3.4,,,,5.5,,5.0,6.3,3.1,4.4,,,3.5,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Springfield,Illinois,,5.9,,,,3.8,,,,5.7,,,,,3.9,2.4,3.3,3.4,,4.8,5.3,2.6,,,,4.4,,,3.7,,,,,,,,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carol-Stream,Illinois,4.1,3.8,4.3,4.2,,10.1,4.2,,,7.0,,,4.0,,,,,3.6,,,,,,4.7,,,3.9,,7.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rock-Island,Illinois,,4.4,4.2,4.5,,8.1,3.5,,,,,3.9,4.9,,3.4,,4.6,4.5,4.6,3.3,,,,3.5,,,,,5.2,,,,,,,,,,,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Early,Texas,,8.5,,5.1,6.9,,10.6,,4.0,,,4.9,6.6,,,,,4.8,8.8,4.6,,,,6.8,,,,,7.5,,,,,,,4.6,,,,5.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Decatur,Alabama,5.2,5.3,4.1,,,6.3,6.5,,,,,3.5,4.7,,3.4,,,,4.7,,,,,4.2,,,,,5.6,,,,,,,,,,,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Winfield,Illinois,4.1,4.1,5.0,,,8.7,5.3,,,4.1,,,,,,,,,,4.0,,,,,,,7.7,5.6,6.6,,,,,,,,,,,,,,,,,,,,,,,,,,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charlottesville,Virginia,,4.0,2.9,4.9,,5.2,,,,4.6,,3.3,,,4.8,,,,,,,3.4,,3.3,,,,,5.1,,,,,,,,,4.7,,,,,,,,,,,,,,,,,,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jackson,Ohio,,4.8,3.9,,,,7.2,,,,,,4.1,,,,5.5,5.7,,,,3.9,,6.2,,,,,6.7,,4.6,,,,,,,,,7.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West-Memphis,Arkansas,,,4.1,3.7,4.3,5.7,5.4,,,,,4.7,4.0,,4.3,,4.4,8.3,5.8,,,,,,,,,,6.3,,4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elkhart,Indiana,,3.2,,3.8,3.6,4.2,,,,,,,10.1,6.6,,,4.6,5.3,,,,,,,,,,,4.8,,,,,,,,,,,4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
