city,state,White alone,Two or more races,Hispanic,Black alone,Asian alone,American Indian alone,Other race alone,Native Hawaiian and OtherPacific Islander alone
Nevada-City,California,81.1,8.5,6.1,1.5,1.0,0.09,,
Port-Jervis,New-York,72.6,2.7,14.0,6.1,3.4,0.1,0.07,
Richmond,California,16.1,4.2,48.1,17.7,12.6,0.5,0.8,0.05
Kansas-City,Missouri,56.4,3.4,11.2,25.9,2.4,0.2,0.2,0.2
Annapolis,Maryland,50.5,2.4,24.5,22.2,1.8,0.03,0.3,
Durango,Colorado,79.1,2.6,9.6,0.4,0.6,7.5,,0.02
Murfreesboro,Tennessee,66.1,3.8,7.4,18.7,3.8,0.2,0.08,
Mars-Hill,Maine,96.6,1.3,1.0,0.2,0.1,0.7,,
Lincoln,Nebraska,78.9,3.1,8.1,4.2,5.0,0.5,0.1,0.2
Bloomfield,New-Mexico,40.4,1.1,38.2,0.5,0.2,19.0,0.2,
Junction,Texas,62.6,1.6,2.4,1.9,,,0.6,
Yakima,Washington,44.6,2.1,46.0,2.6,1.5,1.1,0.8,1.3
Largo,Florida,77.1,2.5,12.1,5.3,2.4,0.2,0.3,0.08
Portales,New-Mexico,45.1,3.4,46.6,3.7,0.7,0.2,,0.06
Roselle,Illinois,74.8,2.7,9.9,4.0,8.4,,0.05,0.05
Los-Angeles,California,28.7,2.5,48.2,8.3,11.5,0.2,0.3,0.1
Conway,Arkansas,72.2,2.7,4.4,17.4,2.3,0.2,0.4,
Tucson,Arizona,41.6,2.7,45.4,4.9,3.1,2.0,0.1,0.3
Shirley,New-York,65.8,1.0,22.0,6.8,3.9,0.2,0.1,
Bloomington,Indiana,77.6,3.0,4.5,4.0,11.3,0.2,0.08,0.01
Douglas,Georgia,36.2,2.1,8.7,53.2,0.05,,,
Plymouth,Massachusetts,90.0,2.1,2.2,1.7,1.0,,1.6,
Gillette,Wyoming,84.0,2.4,11.3,0.6,0.6,0.9,,0.4
Birmingham,Alabama,25.0,1.0,4.2,67.5,1.7,0.3,0.3,
Santa-Rosa,California,52.1,3.5,35.0,2.2,6.3,0.1,0.07,0.6
Queensbury,New-York,95.4,0.9,1.7,0.9,0.9,0.1,0.09,0.01
Emlenton,Pennsylvania,0.0,7.1,1.2,0.1,0.7,0.1,,
Jackson,Wisconsin,95.2,1.3,1.5,1.3,,,,0.3
South-Chicago-Heights,Illinois,29.7,3.1,42.8,4.1,,0.3,,
Cheboygan,Michigan,87.0,3.2,4.4,2.7,0.5,1.8,0.3,
Homewood,Alabama,73.8,1.7,5.8,14.2,3.9,0.06,0.4,
