city,state,Charges - Sewerage,Other,Parks and Recreation,Federal Intergovernmental - Other,Housing and Community Development,Miscellaneous - Fines and Forfeits,General Revenue - Other,Rents,Interest Earnings,Revenue - Water Utilities,State Intergovernmental - Water Utilities,Sewerage,Highways,General Local Government Support,Tax - General Sales and Gross Receipts,Property,Other Selective Sales,Public Utilities Sales,Occupation and Business License - Other,Other License,Documentary and Stock Transfer,Charges - Other,Federal Intergovernmental - Housing and Community Development,Local Intergovernmental - General Local Government Support,Miscellaneous - General Revenue - Other,Fines and Forfeits,Donations From Private Sources,State Intergovernmental - General Local Government Support,Transit Utilities,Education,Tax - Property,Sea and Inland Port Facilities,Regular Highways,Solid Waste Management,Miscellaneous Commercial Activities,Local Intergovernmental - Other,Special Assessments,Sale of Property,Revenue - Transit Utilities,State Intergovernmental - Other,Public Welfare,General Sales and Gross Receipts,Air Transportation,Parking Facilities,Federal Intergovernmental - Air Transportation,Health and Hospitals,Natural Resources,State Intergovernmental - Highways,Water Utilities,Individual Income,Corporation Net Income,Pari - mutuels Sales,Motor Vehicle License,Tobacco Products Sales,Amusements Sales,Public Utility License,Alcoholic Beverage License,Charges - Parks and Recreation,Elementary and Secondary Education - Other,Elementary and Secondary Education School Lunch,Local Intergovernmental - Education,Miscellaneous - Donations From Private Sources,Revenue - Electric Utilities,State Intergovernmental - Education,Alcoholic Beverage Sales,Miscellaneous - Interest Earnings,Gas Utilities,Charges - Solid Waste Management,Natural Resources - Other,Miscellaneous - Special Assessments,Miscellaneous - Rents,Charges - Air Transportation,Electric Utilities,Local Intergovernmental - Electric Utilities,Royalties,Charges - Miscellaneous Commercial Activities,Federal Intergovernmental - Transit Utilities,Local Intergovernmental - Housing and Community Development,Insurance Premiums Sales,Local Intergovernmental - Highways,Local Intergovernmental - Transit Utilities,State Intergovernmental - Transit Utilities,Federal Intergovernmental - General Local Government Support,Motor Fuels Sales,Local Intergovernmental - Water Utilities,Charges - Parking Facilities,Tax - Documentary and Stock Transfer,Federal Intergovernmental - Highways,State Intergovernmental - Sewerage,Amusements License,Hospital Public,Tax - Individual Income,Death and Gift,Elementary and Secondary Education School Tuition and Transportation,Revenue - Gas Utilities,Federal Intergovernmental - Health and Hospitals,Tax - Public Utilities Sales,Federal Intergovernmental - Public Welfare,Toll Highways,Charges - Housing and Community Development,Miscellaneous - Sale of Property,State Intergovernmental - Public Welfare,Charges - Hospital Public,Local Intergovernmental - Health and Hospitals,Employee Retirement - From Local Government,Local Employee Contribution,Interest Revenue,From Other Government,Property Sale Other,General Support,Public Utilities,Federal Intergovernmental - Water Utilities,Local Intergovernmental - Public Welfare,Federal Intergovernmental - Education,Tax - Other Selective Sales,Liquor Stores,Local Intergovernmental - Sewerage,Tax - Occupation and Business License - Other,Federal Intergovernmental - Natural Resources,Total General Sales,Federal Intergovernmental - Sewerage,Tax - Other,State Intergovernmental - Housing and Community Development,Revenue - Liquor Stores,Charges - Regular Highways,State Intergovernmental - Health and Hospitals,Corporation License,State Intergovernmental - Electric Utilities,Charges - Elementary and Secondary Education School Lunch,Motor Vehicle Operators License,Charges - Natural Resources - Other,Tax - Other License,Tax - Amusements Sales,Higher Education - Other,Higher Education Auxiliary Enterprises,Employee Retirement - Earnings on Investments (calculated),From Parent Local Government,Tax - Insurance Premiums Sales,Charges - Sea and Inland Port Facilities,Severance
Nevada-City,California,419.95,95.62,41.61,53.68,38.75,45.11,31.77,28.91,9.21,270.01,113.72,82.27,26.37,3.49,736.02,455.84,127.70,49.56,23.19,9.53,5.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Port-Jervis,New-York,,97.10,2.10,,,,,19.63,6.78,247.25,,73.97,27.58,,,,,56.91,,23.37,,95.70,200.98,368.43,59.36,17.64,2.45,173.05,5.02,0.58,624.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Richmond,California,,48.20,5.11,,1.45,,,7.60,36.95,,,0.08,19.79,2.61,,,11.70,408.72,45.55,60.26,67.41,326.64,223.83,,99.58,9.49,1.92,,,,583.43,92.10,19.48,14.51,12.11,37.90,5.37,1.64,4.95,85.20,15.11,161.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kansas-City,Missouri,455.23,8.23,17.69,,20.83,,,33.10,9.52,337.69,,21.90,3.25,,545.44,256.67,104.09,14.35,,22.00,,,,9.45,618.07,16.93,20.82,,,,,,,,,,20.39,,,,2.50,,258.97,9.61,38.03,8.19,1.54,37.83,9.62,487.99,80.32,24.37,12.89,4.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Annapolis,Maryland,202.99,77.17,69.98,38.98,6.35,,,1.99,15.58,241.21,,,29.45,9.36,,,50.02,9.79,4.46,37.71,,,,,35.59,14.94,,,35.69,,1188.44,,,50.46,,10.45,,,,94.87,,,,,,,,,,203.04,,,,,36.48,22.67,11.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Durango,Colorado,156.54,17.60,51.13,,,,,34.10,150.64,231.07,,3.69,43.64,6.27,1792.49,107.78,56.66,82.33,17.60,23.77,,,,,252.31,50.86,8.43,,84.75,,,,,104.46,3.32,,4.11,9.49,,261.63,,,,57.87,,,,,,,,,4.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Murfreesboro,Tennessee,,93.72,,47.20,,,15.51,3.26,6.13,,,,26.67,,316.41,282.10,36.90,19.95,,34.85,,,,,,16.89,,,0.76,,,,,0.03,3.67,,0.71,0.05,,,,,0.14,,,,,,322.82,,,,,,,,,27.77,10.76,1.47,240.88,27.09,1184.88,380.54,28.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lincoln,Nebraska,,1.02,8.90,142.27,,,32.52,,,101.07,,86.94,,6.89,268.17,252.41,,,107.15,89.32,,88.84,,7.82,,,,,9.52,,,,,21.93,,,,,,,,,,50.58,,,,76.10,,,,,19.75,,,,,,,,,,,,,39.33,96.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bloomfield,New-Mexico,157.06,41.64,16.14,,,9.11,5.60,3.25,3.12,345.74,,,62.07,,432.79,145.87,6.64,36.30,1.82,0.13,,,,,,,2.47,319.84,,,,,,90.70,,8.46,,0.26,,,,,,,,,,,23.42,,,,,,,,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Junction,Texas,,,2.08,,,38.27,0.83,3.33,1.25,314.48,,125.62,,,,,,34.94,,,,,,,,,,,,,232.53,,,,,27.04,,,,,,174.71,,,,,,,,,,,,,,,,,,,,,,,,,,308.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yakima,Washington,263.10,17.36,8.75,40.46,9.57,,7.18,16.67,0.00,96.28,,,,13.48,309.14,197.10,17.96,185.72,6.55,8.27,22.21,,,,,21.03,5.45,,12.87,,,,4.42,74.36,1.72,0.11,,0.18,,,,,,,,3.29,1.78,48.61,,,,,,,10.56,,,,,,,,,,,,,,32.97,25.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Largo,Florida,272.66,15.35,53.89,13.90,4.56,,6.03,1.95,,,,,16.59,,,,,133.05,75.07,23.21,1.47,,,3.17,,5.23,4.56,95.34,,,227.50,,,126.82,0.27,,5.20,9.98,,,,83.05,,,,,,,,,,,,,,,,,,,,,,,,10.75,,,65.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Portales,New-Mexico,127.56,90.70,12.40,,,,,,4.74,384.58,,,37.12,,301.98,37.64,11.71,40.57,4.22,,,,,,,4.65,,238.33,8.70,,,,,104.74,,,,,,,,,14.81,,,,,,3.01,,,,,,,,0.26,,,,,,,,,,,,,,8.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roselle,Illinois,,0.76,5.34,2.31,,,,,0.89,387.48,,,25.82,,,,28.40,69.05,,53.91,,65.35,,,37.26,27.20,,133.02,,,255.53,,,0.27,,,,,,,2.05,119.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
